index,emotion,Usage
605,6,Training
606,3,Training
607,4,Training
608,0,Training
609,3,Training
610,4,Training
611,4,Training
612,0,Training
613,3,Training
614,4,Training
615,6,Training
616,4,Training
617,0,Training
618,4,Training
619,6,Training
620,3,Training
621,5,Training
622,2,Training
623,3,Training
624,0,Training
625,0,Training
626,3,Training
627,6,Training
628,3,Training
629,3,Training
630,6,Training
631,4,Training
632,5,Training
633,0,Training
634,2,Training
635,3,Training
636,0,Training
637,3,Training
638,5,Training
639,3,Training
640,4,Training
641,3,Training
642,4,Training
643,6,Training
644,6,Training
645,3,Training
646,4,Training
647,5,Training
648,3,Training
649,6,Training
650,4,Training
651,6,Training
652,5,Training
653,3,Training
654,0,Training
655,3,Training
656,2,Training
657,3,Training
658,3,Training
659,3,Training
660,5,Training
661,5,Training
662,6,Training
663,2,Training
664,3,Training
665,0,Training
666,3,Training
667,3,Training
668,3,Training
669,2,Training
670,5,Training
671,0,Training
672,6,Training
673,6,Training
674,3,Training
675,5,Training
676,0,Training
677,0,Training
678,3,Training
679,6,Training
680,4,Training
681,3,Training
682,3,Training
683,5,Training
684,3,Training
685,3,Training
686,5,Training
687,3,Training
688,4,Training
689,2,Training
690,3,Training
691,3,Training
692,5,Training
693,3,Training
694,6,Training
695,5,Training
696,4,Training
697,4,Training
698,5,Training
699,6,Training
700,0,Training
701,2,Training
702,2,Training
703,4,Training
704,0,Training
705,6,Training
706,3,Training
707,2,Training
708,5,Training
709,2,Training
710,2,Training
711,4,Training
712,2,Training
713,3,Training
714,0,Training
715,6,Training
716,0,Training
717,6,Training
718,2,Training
719,5,Training
720,3,Training
721,3,Training
722,3,Training
723,2,Training
724,3,Training
725,6,Training
726,5,Training
727,0,Training
728,3,Training
729,2,Training
730,4,Training
731,2,Training
732,6,Training
733,4,Training
734,3,Training
735,4,Training
736,3,Training
737,3,Training
738,3,Training
739,2,Training
740,0,Training
741,2,Training
742,5,Training
743,0,Training
744,2,Training
745,2,Training
746,2,Training
747,6,Training
748,2,Training
749,4,Training
750,5,Training
751,5,Training
752,4,Training
753,4,Training
754,4,Training
755,2,Training
756,0,Training
757,6,Training
758,1,Training
759,5,Training
760,3,Training
761,4,Training
762,6,Training
763,5,Training
764,0,Training
765,0,Training
766,6,Training
767,6,Training
768,2,Training
769,2,Training
770,4,Training
771,5,Training
772,6,Training
773,2,Training
774,3,Training
775,3,Training
776,4,Training
777,5,Training
778,0,Training
779,4,Training
780,3,Training
781,6,Training
782,4,Training
783,5,Training
784,5,Training
785,6,Training
786,3,Training
787,6,Training
788,5,Training
789,5,Training
790,0,Training
791,3,Training
792,3,Training
793,6,Training
794,2,Training
795,6,Training
796,5,Training
797,0,Training
798,4,Training
799,2,Training
800,4,Training
801,6,Training
802,3,Training
803,3,Training
804,2,Training
805,4,Training
806,2,Training
807,1,Training
808,4,Training
809,3,Training
810,3,Training
811,2,Training
812,4,Training
813,3,Training
814,5,Training
815,2,Training
816,0,Training
817,3,Training
818,4,Training
819,5,Training
820,3,Training
821,3,Training
822,4,Training
823,0,Training
824,0,Training
825,2,Training
826,1,Training
827,3,Training
828,4,Training
829,3,Training
830,3,Training
831,4,Training
832,6,Training
833,2,Training
834,0,Training
835,0,Training
836,2,Training
837,5,Training
838,6,Training
839,4,Training
840,3,Training
841,6,Training
842,0,Training
843,5,Training
844,4,Training
845,1,Training
846,2,Training
847,2,Training
848,5,Training
849,3,Training
850,0,Training
851,0,Training
852,6,Training
853,5,Training
854,0,Training
855,6,Training
856,3,Training
857,5,Training
858,6,Training
859,2,Training
860,0,Training
861,0,Training
862,2,Training
863,3,Training
864,1,Training
865,5,Training
866,4,Training
867,5,Training
868,5,Training
869,2,Training
870,3,Training
871,2,Training
872,2,Training
873,3,Training
874,6,Training
875,6,Training
876,0,Training
877,6,Training
878,4,Training
879,0,Training
880,3,Training
881,0,Training
882,4,Training
883,0,Training
884,6,Training
885,6,Training
886,2,Training
887,3,Training
888,5,Training
889,4,Training
890,2,Training
891,6,Training
892,3,Training
893,5,Training
894,5,Training
895,3,Training
896,2,Training
897,3,Training
898,3,Training
899,4,Training
900,0,Training
901,6,Training
902,4,Training
903,4,Training
904,2,Training
905,6,Training
906,3,Training
907,2,Training
908,0,Training
909,5,Training
910,4,Training
911,2,Training
912,6,Training
913,6,Training
914,2,Training
915,3,Training
916,6,Training
917,6,Training
918,4,Training
919,6,Training
920,2,Training
921,3,Training
922,4,Training
923,0,Training
924,2,Training
925,6,Training
926,3,Training
927,4,Training
928,0,Training
929,4,Training
930,6,Training
931,6,Training
932,0,Training
933,4,Training
934,4,Training
935,0,Training
936,6,Training
937,6,Training
938,0,Training
939,4,Training
940,2,Training
941,2,Training
942,3,Training
943,3,Training
944,4,Training
945,6,Training
946,0,Training
947,5,Training
948,3,Training
949,2,Training
950,0,Training
951,3,Training
952,6,Training
953,4,Training
954,2,Training
955,4,Training
956,6,Training
957,4,Training
958,6,Training
959,2,Training
960,5,Training
961,0,Training
962,0,Training
963,0,Training
964,5,Training
965,0,Training
966,0,Training
967,6,Training
968,3,Training
969,3,Training
970,6,Training
971,0,Training
972,5,Training
973,3,Training
974,0,Training
975,6,Training
976,4,Training
977,4,Training
978,2,Training
979,6,Training
980,0,Training
981,3,Training
982,2,Training
983,2,Training
984,3,Training
985,0,Training
986,4,Training
987,4,Training
988,4,Training
989,6,Training
990,4,Training
991,6,Training
992,6,Training
993,5,Training
994,2,Training
995,3,Training
996,6,Training
997,3,Training
998,0,Training
999,6,Training
1000,6,Training
1001,4,Training
1002,6,Training
1003,4,Training
1004,3,Training
1005,4,Training
1006,3,Training
1007,4,Training
1008,2,Training
1009,4,Training
1010,4,Training
1011,4,Training
1012,3,Training
1013,2,Training
1014,3,Training
1015,0,Training
1016,0,Training
1017,3,Training
1018,0,Training
1019,4,Training
1020,3,Training
1021,6,Training
1022,4,Training
1023,3,Training
1024,0,Training
1025,2,Training
1026,4,Training
1027,3,Training
1028,5,Training
1029,3,Training
1030,4,Training
1031,4,Training
1032,3,Training
1033,5,Training
1034,2,Training
1035,4,Training
1036,2,Training
1037,6,Training
1038,3,Training
1039,0,Training
1040,5,Training
1041,4,Training
1042,5,Training
1043,5,Training
1044,3,Training
1045,6,Training
1046,3,Training
1047,3,Training
1048,3,Training
1049,3,Training
1050,5,Training
1051,0,Training
1052,3,Training
1053,3,Training
1054,6,Training
1055,4,Training
1056,3,Training
1057,3,Training
1058,3,Training
1059,5,Training
1060,6,Training
1061,0,Training
1062,6,Training
1063,2,Training
1064,2,Training
1065,3,Training
1066,0,Training
1067,4,Training
1068,6,Training
1069,4,Training
1070,5,Training
1071,0,Training
1072,3,Training
1073,1,Training
1074,3,Training
1075,2,Training
1076,3,Training
1077,3,Training
1078,4,Training
1079,2,Training
1080,6,Training
1081,3,Training
1082,3,Training
1083,3,Training
1084,5,Training
1085,3,Training
1086,2,Training
1087,5,Training
1088,3,Training
1089,2,Training
1090,0,Training
1091,4,Training
1092,2,Training
1093,6,Training
1094,6,Training
1095,3,Training
1096,1,Training
1097,3,Training
1098,0,Training
1099,3,Training
1100,2,Training
1101,6,Training
1102,0,Training
1103,3,Training
1104,2,Training
1105,0,Training
1106,0,Training
1107,5,Training
1108,0,Training
1109,5,Training
1110,6,Training
1111,3,Training
1112,4,Training
1113,3,Training
1114,6,Training
1115,1,Training
1116,2,Training
1117,3,Training
1118,5,Training
1119,6,Training
1120,5,Training
1121,3,Training
1122,0,Training
1123,0,Training
1124,0,Training
1125,4,Training
1126,6,Training
1127,0,Training
1128,2,Training
1129,4,Training
1130,3,Training
1131,3,Training
1132,5,Training
1133,2,Training
1134,4,Training
1135,5,Training
1136,6,Training
1137,2,Training
1138,4,Training
1139,4,Training
1140,3,Training
1141,3,Training
1142,6,Training
1143,2,Training
1144,4,Training
1145,5,Training
1146,3,Training
1147,0,Training
1148,4,Training
1149,3,Training
1150,0,Training
1151,3,Training
1152,3,Training
1153,4,Training
1154,2,Training
1155,3,Training
1156,4,Training
1157,5,Training
1158,0,Training
1159,3,Training
1160,0,Training
1161,6,Training
1162,5,Training
1163,2,Training
1164,3,Training
1165,3,Training
1166,0,Training
1167,3,Training
1168,0,Training
1169,2,Training
1170,0,Training
1171,2,Training
1172,5,Training
1173,4,Training
1174,3,Training
1175,4,Training
1176,5,Training
1177,0,Training
1178,0,Training
1179,6,Training
1180,3,Training
1181,0,Training
1182,3,Training
1183,6,Training
1184,4,Training
1185,5,Training
1186,3,Training
1187,3,Training
1188,4,Training
1189,6,Training
1190,3,Training
1191,4,Training
1192,0,Training
1193,2,Training
1194,0,Training
1195,6,Training
1196,3,Training
1197,3,Training
1198,4,Training
1199,6,Training
1200,0,Training
1201,5,Training
1202,3,Training
1203,3,Training
1204,0,Training
1205,3,Training
1206,6,Training
1207,4,Training
1208,4,Training
1209,3,Training
1210,0,Training
1211,0,Training
1212,3,Training
1213,0,Training
1214,5,Training
1215,0,Training
1216,0,Training
1217,3,Training
1218,6,Training
1219,3,Training
1220,6,Training
1221,0,Training
1222,6,Training
1223,4,Training
1224,5,Training
1225,0,Training
1226,0,Training
1227,6,Training
1228,2,Training
1229,4,Training
1230,6,Training
1231,2,Training
1232,5,Training
1233,0,Training
1234,4,Training
1235,0,Training
1236,6,Training
1237,3,Training
1238,2,Training
1239,5,Training
1240,2,Training
1241,3,Training
1242,0,Training
1243,4,Training
1244,2,Training
1245,6,Training
1246,3,Training
1247,4,Training
1248,6,Training
1249,5,Training
1250,0,Training
1251,6,Training
1252,0,Training
1253,2,Training
1254,3,Training
1255,0,Training
1256,6,Training
1257,3,Training
1258,3,Training
1259,6,Training
1260,3,Training
1261,5,Training
1262,3,Training
1263,4,Training
1264,4,Training
1265,1,Training
1266,3,Training
1267,0,Training
1268,0,Training
1269,3,Training
1270,1,Training
1271,6,Training
1272,3,Training
1273,2,Training
1274,2,Training
1275,3,Training
1276,4,Training
1277,6,Training
1278,5,Training
1279,6,Training
1280,6,Training
1281,4,Training
1282,3,Training
1283,3,Training
1284,6,Training
1285,3,Training
1286,6,Training
1287,4,Training
1288,3,Training
1289,5,Training
1290,6,Training
1291,5,Training
1292,6,Training
1293,4,Training
1294,4,Training
1295,3,Training
1296,6,Training
1297,3,Training
1298,4,Training
1299,0,Training
1300,6,Training
1301,2,Training
1302,2,Training
1303,6,Training
1304,6,Training
1305,2,Training
1306,6,Training
1307,4,Training
1308,0,Training
1309,3,Training
1310,1,Training
1311,0,Training
1312,4,Training
1313,6,Training
1314,4,Training
1315,4,Training
1316,3,Training
1317,0,Training
1318,5,Training
1319,3,Training
1320,5,Training
1321,2,Training
1322,2,Training
1323,6,Training
1324,6,Training
1325,2,Training
1326,3,Training
1327,5,Training
1328,6,Training
1329,4,Training
1330,3,Training
1331,4,Training
1332,2,Training
1333,6,Training
1334,3,Training
1335,3,Training
1336,6,Training
1337,4,Training
1338,0,Training
1339,6,Training
1340,0,Training
1341,3,Training
1342,2,Training
1343,2,Training
1344,6,Training
1345,2,Training
1346,2,Training
1347,6,Training
1348,4,Training
1349,0,Training
1350,0,Training
1351,2,Training
1352,6,Training
1353,4,Training
1354,3,Training
1355,3,Training
1356,4,Training
1357,6,Training
1358,0,Training
1359,5,Training
1360,3,Training
1361,4,Training
1362,4,Training
1363,3,Training
1364,4,Training
1365,0,Training
1366,2,Training
1367,2,Training
1368,3,Training
1369,5,Training
1370,0,Training
1371,3,Training
1372,0,Training
1373,0,Training
1374,0,Training
1375,0,Training
1376,5,Training
1377,2,Training
1378,3,Training
1379,5,Training
1380,3,Training
1381,3,Training
1382,4,Training
1383,6,Training
1384,0,Training
1385,3,Training
1386,0,Training
1387,3,Training
1388,3,Training
1389,2,Training
1390,2,Training
1391,4,Training
1392,0,Training
1393,0,Training
1394,3,Training
1395,3,Training
1396,0,Training
1397,0,Training
1398,2,Training
1399,5,Training
1400,5,Training
1401,2,Training
1402,5,Training
1403,5,Training
1404,3,Training
1405,4,Training
1406,3,Training
1407,6,Training
1408,4,Training
1409,3,Training
1410,2,Training
1411,6,Training
1412,0,Training
1413,0,Training
1414,6,Training
1415,6,Training
1416,6,Training
1417,6,Training
1418,3,Training
1419,3,Training
1420,4,Training
1421,3,Training
1422,0,Training
1423,6,Training
1424,6,Training
1425,3,Training
1426,3,Training
1427,6,Training
1428,3,Training
1429,2,Training
1430,5,Training
1431,2,Training
1432,3,Training
1433,6,Training
1434,6,Training
1435,3,Training
1436,2,Training
1437,2,Training
1438,0,Training
1439,6,Training
1440,3,Training
1441,2,Training
1442,3,Training
1443,0,Training
1444,0,Training
1445,6,Training
1446,4,Training
1447,3,Training
1448,0,Training
1449,5,Training
1450,0,Training
1451,5,Training
1452,4,Training
1453,0,Training
1454,3,Training
1455,4,Training
1456,2,Training
1457,5,Training
1458,2,Training
1459,3,Training
1460,0,Training
1461,4,Training
1462,0,Training
1463,4,Training
1464,5,Training
1465,2,Training
1466,2,Training
1467,5,Training
1468,0,Training
1469,2,Training
1470,6,Training
1471,2,Training
1472,6,Training
1473,4,Training
1474,2,Training
1475,3,Training
1476,3,Training
1477,0,Training
1478,3,Training
1479,2,Training
1480,2,Training
1481,4,Training
1482,4,Training
1483,0,Training
1484,3,Training
1485,2,Training
1486,4,Training
1487,3,Training
1488,3,Training
1489,5,Training
1490,0,Training
1491,3,Training
1492,2,Training
1493,6,Training
1494,4,Training
1495,5,Training
1496,2,Training
1497,3,Training
1498,2,Training
1499,3,Training
1500,6,Training
1501,6,Training
1502,3,Training
1503,6,Training
1504,3,Training
1505,2,Training
1506,2,Training
1507,3,Training
1508,0,Training
1509,2,Training
1510,4,Training
1511,4,Training
1512,3,Training
1513,0,Training
1514,5,Training
1515,5,Training
1516,3,Training
1517,3,Training
1518,5,Training
1519,6,Training
1520,0,Training
1521,4,Training
1522,0,Training
1523,3,Training
1524,3,Training
1525,3,Training
1526,4,Training
1527,3,Training
1528,5,Training
1529,2,Training
1530,2,Training
1531,4,Training
1532,4,Training
1533,0,Training
1534,2,Training
1535,5,Training
1536,4,Training
1537,3,Training
1538,3,Training
1539,3,Training
1540,3,Training
1541,3,Training
1542,1,Training
1543,3,Training
1544,2,Training
1545,3,Training
1546,6,Training
1547,3,Training
1548,3,Training
1549,4,Training
1550,3,Training
1551,2,Training
1552,5,Training
1553,6,Training
1554,2,Training
1555,0,Training
1556,0,Training
1557,4,Training
1558,0,Training
1559,4,Training
1560,4,Training
1561,4,Training
1562,4,Training
1563,4,Training
1564,0,Training
1565,6,Training
1566,4,Training
1567,2,Training
1568,3,Training
1569,6,Training
1570,3,Training
1571,6,Training
1572,6,Training
1573,4,Training
1574,5,Training
1575,0,Training
1576,2,Training
1577,2,Training
1578,6,Training
1579,3,Training
1580,4,Training
1581,3,Training
1582,0,Training
1583,5,Training
1584,0,Training
1585,3,Training
1586,0,Training
1587,0,Training
1588,0,Training
1589,2,Training
1590,6,Training
1591,3,Training
1592,4,Training
1593,0,Training
1594,2,Training
1595,0,Training
1596,6,Training
1597,0,Training
1598,4,Training
1599,2,Training
1600,3,Training
1601,2,Training
1602,4,Training
1603,3,Training
1604,4,Training
1605,2,Training
1606,2,Training
1607,6,Training
1608,2,Training
1609,4,Training
1610,0,Training
1611,6,Training
1612,4,Training
1613,3,Training
1614,2,Training
1615,5,Training
1616,3,Training
1617,5,Training
1618,6,Training
1619,1,Training
1620,4,Training
1621,4,Training
1622,3,Training
1623,3,Training
1624,2,Training
1625,3,Training
1626,4,Training
1627,3,Training
1628,3,Training
1629,6,Training
1630,3,Training
1631,0,Training
1632,2,Training
1633,4,Training
1634,2,Training
1635,4,Training
1636,6,Training
1637,6,Training
1638,6,Training
1639,0,Training
1640,3,Training
1641,0,Training
1642,3,Training
1643,3,Training
1644,3,Training
1645,4,Training
1646,4,Training
1647,0,Training
1648,4,Training
1649,6,Training
1650,5,Training
1651,0,Training
1652,6,Training
1653,5,Training
1654,2,Training
1655,3,Training
1656,6,Training
1657,2,Training
1658,6,Training
1659,6,Training
1660,2,Training
1661,1,Training
1662,3,Training
1663,6,Training
1664,3,Training
1665,5,Training
1666,5,Training
1667,2,Training
1668,0,Training
1669,6,Training
1670,3,Training
1671,6,Training
1672,0,Training
1673,3,Training
1674,0,Training
1675,6,Training
1676,3,Training
1677,3,Training
1678,4,Training
1679,3,Training
1680,3,Training
1681,5,Training
1682,3,Training
1683,6,Training
1684,3,Training
1685,6,Training
1686,4,Training
1687,3,Training
1688,6,Training
1689,3,Training
1690,3,Training
1691,6,Training
1692,6,Training
1693,4,Training
1694,0,Training
1695,6,Training
1696,3,Training
1697,3,Training
1698,3,Training
1699,3,Training
1700,6,Training
1701,5,Training
1702,6,Training
1703,2,Training
1704,3,Training
1705,4,Training
1706,4,Training
1707,3,Training
1708,3,Training
1709,6,Training
1710,5,Training
1711,0,Training
1712,4,Training
1713,4,Training
1714,6,Training
1715,4,Training
1716,6,Training
1717,0,Training
1718,4,Training
1719,5,Training
1720,2,Training
1721,2,Training
1722,2,Training
1723,6,Training
1724,4,Training
1725,5,Training
1726,0,Training
1727,2,Training
1728,2,Training
1729,4,Training
1730,2,Training
1731,0,Training
1732,3,Training
1733,6,Training
1734,0,Training
1735,5,Training
1736,0,Training
1737,6,Training
1738,6,Training
1739,3,Training
1740,3,Training
1741,2,Training
1742,4,Training
1743,2,Training
1744,6,Training
1745,6,Training
1746,3,Training
1747,4,Training
1748,5,Training
1749,3,Training
1750,5,Training
1751,4,Training
1752,2,Training
1753,6,Training
1754,6,Training
1755,3,Training
1756,2,Training
1757,5,Training
1758,4,Training
1759,6,Training
1760,3,Training
1761,2,Training
1762,3,Training
1763,3,Training
1764,5,Training
1765,3,Training
1766,0,Training
1767,5,Training
1768,3,Training
1769,4,Training
1770,3,Training
1771,2,Training
1772,4,Training
1773,3,Training
1774,6,Training
1775,3,Training
1776,0,Training
1777,1,Training
1778,4,Training
1779,6,Training
1780,2,Training
1781,3,Training
1782,3,Training
1783,6,Training
1784,6,Training
1785,6,Training
1786,3,Training
1787,3,Training
1788,4,Training
1789,3,Training
1790,0,Training
1791,2,Training
1792,5,Training
1793,3,Training
1794,0,Training
1795,2,Training
1796,2,Training
1797,5,Training
1798,2,Training
1799,2,Training
1800,5,Training
1801,3,Training
1802,0,Training
1803,2,Training
1804,3,Training
1805,3,Training
1806,0,Training
1807,5,Training
1808,3,Training
1809,3,Training
1810,0,Training
1811,4,Training
1812,4,Training
1813,3,Training
1814,2,Training
1815,3,Training
1816,3,Training
1817,6,Training
1818,3,Training
1819,6,Training
1820,2,Training
1821,3,Training
1822,5,Training
1823,5,Training
1824,5,Training
1825,0,Training
1826,3,Training
1827,2,Training
1828,3,Training
1829,2,Training
1830,6,Training
1831,6,Training
1832,3,Training
1833,3,Training
1834,4,Training
1835,6,Training
1836,5,Training
1837,2,Training
1838,2,Training
1839,4,Training
1840,6,Training
1841,0,Training
1842,3,Training
1843,1,Training
1844,4,Training
1845,3,Training
1846,4,Training
1847,0,Training
1848,3,Training
1849,0,Training
1850,3,Training
1851,4,Training
1852,4,Training
1853,3,Training
1854,4,Training
1855,5,Training
1856,0,Training
1857,2,Training
1858,6,Training
1859,5,Training
1860,3,Training
1861,3,Training
1862,6,Training
1863,0,Training
1864,5,Training
1865,4,Training
1866,3,Training
1867,6,Training
1868,2,Training
1869,3,Training
1870,3,Training
1871,6,Training
